airport_id,airport_identifier,airporttype_id,airport_name,lat_deg,long_deg,elev_ft,city_id,scheduled_service,gps_code,iata_code,icao_code,local_code,home_link,wikipedia_link,keywords
64,01CL,6,Swansboro Country Airport,38.7999,-120.734001,2594,31458,no,01CL,,,01CL,,https://en.wikipedia.org/wiki/Swansboro_Country_Airport,
65,01CO,3,St Vincent General Hospital Heliport,39.24530029296875,-106.24600219726562,10175,31844,no,01CO,,,01CO,,,
10665,AR-0517,6,Fumagro Airport,-37.214729,-62.780581,364,484,no,,,,CFU,,,
66,01CT,3,Berlin Fairgrounds Heliport,41.62730026245117,-72.72750091552734,60,30182,no,01CT,,,01CT,,,
67,01FA,6,Rybolt Ranch Airport,28.589399337768555,-81.14420318603516,55,29153,no,01FA,,,01FA,,,
68,01FD,3,Advent Health Altamonte Springs Heliport,28.666639,-81.3697,86,29013,no,01FD,,,01FD,,,Florida Hospital-Altamonte
69,01FL,6,Cedar Knoll Flying Ranch Airport,28.78190040588379,-81.1592025756836,19,30306,no,01FL,,,01FL,,,
70,01GA,3,Medical Center Heliport,32.47930145263672,-84.9791030883789,319,29259,no,01GA,,,01GA,,,
71,01GE,6,The Farm Airport,32.675106,-82.771055,375,29264,no,01GE,,,01GE,,,
72,01ID,6,Lava Hot Springs Airport,42.6082,-112.031998,5268,31939,no,01ID,,,01ID,,,"Formerly 00E, ID26"
73,01II,6,Myers Field,39.8849983215332,-86.50669860839844,950,29337,no,01II,,,01II,,,
74,01IL,3,Hoopeston Community Memorial Hospital Heliport,40.45859909057617,-87.65950012207031,583,30281,no,01IL,,,01IL,,,
75,01IN,3,Community Hospital Heliport,40.13090133666992,-85.69580078125,890,29802,no,01IN,,,01IN,,,
76,01IS,6,William E. Koenig Airport,39.01620101928711,-90.31819915771484,670,29324,no,01IS,,,01IS,,,
77,01J,6,Hilliard Airpark,30.685568,-81.906346,59,31147,no,K01J,,,01J,,https://en.wikipedia.org/wiki/Hilliard_Airpark,
78,01K,6,Caldwell Municipal Airport,37.036132,-97.58533,1157,31937,no,K01K,,,01K,,https://en.wikipedia.org/wiki/Caldwell_Municipal_Airport_(Kansas),
79,01KS,6,Flying N Ranch Airport,38.54059982299805,-97.00330352783203,1485,29364,no,01KS,,,01KS,,,
80,01KY,3,Lourdes Hospital Heliport,37.051700592041016,-88.64689636230469,419,28932,no,01KY,,,01KY,,,
81,01LA,6,Barham Airport,32.638999938964844,-91.77369689941406,90,29147,no,01LA,,,01LA,,,
82,01LL,6,Schumaier Restricted Landing Area,38.12580108642578,-89.46389770507812,555,29317,no,01LL,,,01LL,,,
83,01LS,6,Country Breeze Airport,30.722478,-91.077372,125,29446,no,01LS,,,01LS,,,
84,01MA,3,Compaq Andover Heliport,42.625099182128906,-71.18009948730469,140,30679,no,01MA,,,01MA,,,
85,01MD,5,Annapolis Seaplane Base,38.999199,-76.456001,,29449,no,01MD,,,01MD,,,
86,01ME,5,Saint Peter's Seaplane Base,46.778900146484375,-68.50029754638672,608,4401,no,01ME,,,01ME,,,
87,01MI,3,Flow Through Terminal Heliport,43.04949951171875,-83.67970275878906,736,30622,no,01MI,,,01MI,,,
88,01MN,5,Barnes Seaplane Base,47.899600982666016,-92.55740356445312,1358,30708,no,01MN,,,01MN,,,
89,01MO,3,Highway Patrol Troop C Headquarters Heliport,38.641700744628906,-90.48429870605469,615,29571,no,01MO,,,01MO,,,
90,01MT,6,Crystal Lakes Resort Airport,48.789100646972656,-114.87999725341797,3141,31957,no,01MT,,,01MT,,,
91,01MU,3,NWMC - Houghton Heliport,32.196747,-110.775142,2873,31403,no,01MU,,,01MU,,,
92,01NC,6,Topsail Airpark,34.47529983520508,-77.5813980102539,65,29658,no,01NC,,,01NC,,,
93,01NH,6,Moore Airfield,43.6445,-72.086998,835,30773,no,01NH,,,01NH,,,Enfield
94,01NJ,3,Albert Guido Memorial Heliport,40.739956,-74.136128,10,29010,no,01NJ,,,01NJ,,,
95,01NM,6,Champion Ranch Airport,33.008611,-104.540278,3630,31872,no,01NM,,,01NM,,,
96,01NR,3,McGee 01 Heliport,34.196264,-77.919917,40,29011,no,01NR,,,01NR,,,
97,01NV,6,Lantana Ranch Airport,38.76390075683594,-119.0270004272461,4600,31879,no,01NV,,,01NV,,,
98,01NY,3,Vassar Hospital Heliport,41.692415,-73.93683,100,31049,no,01NY,,,01NY,,,
99,01OH,3,Atrium Medical Center Heliport,39.497455,-84.313851,775,29009,no,01OH,,,01OH,,,
